Year,Age_Category,BirthRate,,,,,,,
1980,15_29_years,48.6,,,,,,,
1981,15_29_years,44.6,,,,,,,
1982,15_29_years,44.3,,,,,,,
1983,15_29_years,47.4,,,,,,,
1984,15_29_years,45.2,,,,,,,
1985,15_29_years,47.1,,,,,,,
1986,15_29_years,42.6,,,,,,,
1987,15_29_years,48.0,,,,,,,
1988,15_29_years,42.0,,,,,,,
1990,15_29_years,43.2,,,,,,,
1992,15_29_years,40.9,,,,,,,
1994,15_29_years,46.3,,,,,,,
1995,15_29_years,38.1,,,,,,,
1998,15_29_years,40.2,,,,,,,
2000,15_29_years,43.1,,,,,,,
2002,15_29_years,35.4,,,,,,,
2004,15_29_years,35.1,,,,,,,
2006,15_29_years,37.1,,,,,,,
2008,15_29_years,37.4,,,,,,,
1980,30_44_years,6.3,,,,,,,
1981,30_44_years,7.9,,,,,,,
1982,30_44_years,6.4,,,,,,,
1983,30_44_years,7.2,,,,,,,
1984,30_44_years,10.2,,,,,,,
1985,30_44_years,8.0,,,,,,,
1986,30_44_years,9.6,,,,,,,
1987,30_44_years,9.4,,,,,,,
1988,30_44_years,9.6,,,,,,,
1990,30_44_years,10.6,,,,,,,
1992,30_44_years,10.7,,,,,,,
1994,30_44_years,11.0,,,,,,,
1995,30_44_years,10.4,,,,,,,
1998,30_44_years,11.3,,,,,,,
2000,30_44_years,12.5,,,,,,,
2002,30_44_years,12.2,,,,,,,
2004,30_44_years,13.7,,,,,,,
2006,30_44_years,13.5,,,,,,,
2008,30_44_years,13.1,,,,,,,
1980,30_34_years,(NA),,,,,,,
1981,30_34_years,14.3,,,,,,,
1982,30_34_years,14.1,,,,,,,
1983,30_34_years,13.8,,,,,,,
1984,30_34_years,20.9,,,,,,,
1985,30_34_years,15.8,,,,,,,
1986,30_34_years,19.5,,,,,,,
1987,30_34_years,18.2,,,,,,,
1988,30_34_years,20.3,,,,,,,
1990,30_34_years,21.9,,,,,,,
1992,30_34_years,21.8,,,,,,,
1994,30_34_years,23.0,,,,,,,
1995,30_34_years,21.2,,,,,,,
1998,30_34_years,23.8,,,,,,,
2000,30_34_years,27.5,,,,,,,
2002,30_34_years,26.4,,,,,,,
2004,30_34_years,28.4,,,,,,,
2006,30_34_years,28.7,,,,,,,
2008,30_34_years,27.6,,,,,,,
1980,35-39_years,(NA),,,,,,,
1981,35-39_years,5.6,,,,,,,
1982,35-39_years,1.7,,,,,,,
1983,35-39_years,5.2,,,,,,,
1984,35-39_years,5.4,,,,,,,
1985,35-39_years,5.2,,,,,,,
1986,35-39_years,5.4,,,,,,,
1987,35-39_years,6.5,,,,,,,
1988,35-39_years,5.1,,,,,,,
1990,35-39_years,6.5,,,,,,,
1992,35-39_years,6.4,,,,,,,
1994,35-39_years,7.3,,,,,,,
1995,35-39_years,7.8,,,,,,,
1998,35-39_years,8.7,,,,,,,
2000,35-39_years,9.6,,,,,,,
2002,35-39_years,7.9,,,,,,,
2004,35-39_years,11.5,,,,,,,
2006,35-39_years,11.6,,,,,,,
2008,35-39_years,9.5,,,,,,,
